Key,en,de,fr,it,es
ready_for_burger,"Superintendent, I hope you're prepared for some mouthwatering hamburgers!","Superintendent, ich hoffe, Sie sind bereit für ein paar leckere Hamburger!","Inspecteur, j'espère que vous êtes prêt pour ces succulents hamburgers!","Sovrintendente, spero che tu sia preparato per degli hamburger deliziosi!","Superintendente, ¡espero que esté preparado para algunas hamburguesas deliciosas!"
steamed_clams,I thought we were having steamed clams?,"Ich dachte, wir hätten gedämpfte Muscheln gedünstet?",Mais je croyais qu'on mangeait des clams à la vapeur?,Pensavo avessimo delle vongole al vapore?,Pensé que estábamos teniendo almejas al vapor?
res_region?,What region?,Welche Region?,Quelle région?,Quale regione?,¿Qué región?
res_taste_familiar,These taste familiar...,Diese schmecken vertraut ...,Ces goûts familiers ...,Questi hanno un sapore familiare ...,Estos saben familiar ...
res_grilled?,Obviously grilled?,Offensichtlich gegrillt?,Évidemment grillé?,Ovviamente grigliato?,Obviamente a la parrilla?
what_region,Uh huh. What region?,Ach so. Welche Region?,"Je vois. De quelle région, juste?",Uh Huh. Quale regione?,UH Huh. ¿Qué región?
upstate_ny,Upstate New York.,Im Hinterland von New York.,De la région du Lac-Saint-Jean.,Upstate New York.,Norte del estado de Nueva York.
res_utica,I'm from Utica,Ich komme aus Utica,Je suis de Jonquière,Vengo da Utica,Soy de Utica
res_not_steamed,They're not steamed,Sie sind nicht gedämpft,Ils ne sont pas cuits à la vapeur,Non sono al vapore,No son cocidos al vapor
res_smoke,I smell smoke!,Ich rieche Rauch!,Je sens la fumée!,Sento odore di fumo!,¡Huelo humo!
albany_expression,"Oh, not in Utica, no. It's an Albany expression.","Oh, nicht in Utica, nein. Es ist ein Albany-Ausdruck.","Oh, pas Jonquière, non. C'est une expression d'Alma.","Oh, non in Utica, no. È un'espressione di Albany.","Oh, no en Utica, no. Es una expresión de Albany."
obviously_grilled,"And you call them ""Steamed Hams"" despite the fact that they are obviously grilled.","Und Sie nennen sie ""gedämpfte Huscheln"", obwohl sie offensichtlich gegrillt sind.","Et vous les appelez ""Hams Vapeur"" en dépit du fait qu'ils soient de toute évidence grillés.","E tu li chiami ""Steamed Hams"", nonostante siano ovviamente alla griglia.","Y los llamas ""Hams al vapor"" a pesar del hecho de que obviamente están a la parrilla."
um,"Uh, um, er...","Äh, ähm, äh ...","Euh, vous, euh ...","Uh, um, ehm ...","Uh, um, er ..."
well,"well, the thing is...","nun, das Ding ist ...",Une chose que je…,"bene, il fatto è ...","bueno, la cosa es ..."
excuse_me,Excuse me for one second.,Entschuldige mich für eine Sekunde.,Excusez-moi une seconde.,Mi scusi per un secondo.,Disculpa por un segundo.
of_course,Of course.,Na sicher.,Bien sûr.,Ovviamente.,Por supuesto.
pooped,"*yawns* That was wonderful. A good time was had by all, I'm pooped.","* gähnt * Das war wunderbar. Es war eine gute Zeit für alle, ich bin erledigt.","*bâillements* C'était merveilleux. On s'est bien amusés, je suis exténué.","* sbadigli * È stato meraviglioso. È stato un bel momento, estoy stanco.","* bosteza * Eso fue maravilloso. Todos pasaron un buen momento, estoy agotado."
should_go,"Yes, I should be...","Ja, ich sollte ...","Oui, je devrais penser à...","Sì, dovrei essere ...","Sí, debería ser ..."
good_lord,"Good lord, what is happening in there?","Mein Gott, was passiert da drinnen?","Grand Dieu, mais qu'est-ce qui se passe là-dedans?","Buon Dio, cosa sta succedendo lì dentro?","Dios mío, ¿qué está pasando allí?"
skinner_aurora,Aurora Borealis.,Nordlicht.,Une aurore boréale.,Aurora boreale.,Aurora boreal.
from_utica,"Really. Well I'm from Utica and I've never heard anyone use the phrase ""Steamed Hams"".","Ja wirklich. Nun, ich komme aus Utica und ich habe noch nie jemanden den Ausdruck ""gedämpfte Huscheln"" gehört.","Vraiment. Et bien, je suis de Jonquière et j'ai jamais entendu personne employer le terme ""Ham Vapeur"".","Veramente. Beh, io vengo da Utica e non ho mai sentito nessuno usare la frase ""Prosciutti al vapore"".","De Verdad. Bueno, soy de Utica y nunca escuché a nadie usar la frase ""Steam Hams""."
krustyburger,These hamburgers are quite similar to the ones they have at Krustyburger,Diese Hamburger sind denen in Krustyburger sehr ähnlich,Ces hamburgers sont très semblables à ceux de chez Krustyburger,Questi hamburger sono abbastanza simili a quelli che hanno a Krustyburger,Estas hamburguesas son bastante similares a las que tienen en Krustyburger
skinnerburgers,"Oh ho ho, no. Patented Skinnerburgers! Old family recipe.","Oh ho ho, nein. Patentierte Skinnerburger! Altes Familienrezept.","Oh, oh, oh, oh non. Non, d'authentiques Skinner Burgers! Une vieille recette de famille.","Oh ho ho, no. Skinnerburgers brevettati! Vecchia ricetta di famiglia","Oh ho ho, no. ¡Patentado Skinnerburgers! Vieja receta familiar"
for_steamed_hams,For steamed hams.,Für gedämpfte Huscheln.,Pour les hams vapeur.,Per prosciutti cotti al vapore.,Para jamones al vapor.
yes1,Yes!,Ja!,Oui!,Sì!,¡Sí!
res_but_grilled?,But they're grilled,Aber sie sind gegrillt,Mais ils sont grillés,Ma sono alla griglia,Pero están a la parrilla
res_fire?,Is that fire?,Ist das Feuer?,Est-ce le feu?,È questo fuoco?,Es ese fuego?
chalmers_aurora,Aurora Borealis?,Nordlicht?,"Une aurores boréale, hein?",Aurora boreale?,¿Aurora boreal?
res_this_time?,At this time of day?,Zu dieser Tageszeit?,À cette heure de la journée?,A quest'ora del giorno?,A esta hora del día?
res_this_date?,At this time of year?,Zu dieser Jahreszeit?,À cette temps-ci de l'année?,In questo periodo dell'anno?,¿En esta época del año?
res_this_part?,In this part of the country,In diesem Teil des Landes,Dans cette partie du pays,In questa parte del paese,En esta parte del país
res_localized?,Localized entirely in your kitchen?,Ganz in Ihrer Küche lokalisiert?,Localisée entièrement dans les limites de votre cuisine?,Localizzato interamente nella tua cucina?,¿Localizado completamente en tu cocina?
yes2,Yes.,Ja.,Ouais.,Sì.,Sí.
see_it?,May I see it?,Kann ich es sehen?,Puis-je le voir?,Posso vederlo?,¿Puedo verlo?
no,No.,Nein.,Non.,No.,No.
good_ham,Well Seymore you are an odd fellow but I must say you steam a good ham.,"Nun Seymore, du bist ein komischer Kerl, aber ich muss dir sagen, dass du einen guten Huschel dampfst.","Et bien, Seymore, vous êtes un drôle de type, mais je dois dire que vous faites d'excellents hams vapeurs.","Beh, Seymore sei un tipo strano, ma devo dire che fai un buon prosciutto.","Bueno, Seymore, eres un tipo raro, pero debo decir que preparas un buen jamón."
help,Help! Help!,Hilfe! Hilfe!,Au secours! Au feu!,Aiuto! Aiuto!,¡Ayuda! ¡Ayuda!
house_on_fire,Seymore! The house is on fire!,Seymore! Das Haus brennt!,Seymore! La maison est en feu!,Seymore! La casa è in fiamme!,Seymore! La casa está en llamas!
northern_lights,"No, mother, that's just the Northern Lights.","Nein, Mutter, das sind nur die Nordlichter.","Non, maman, c'est une aurore boréale.","No, madre, sono solo le aurore boreali.","No, madre, eso es solo la aurora boreal."
steamed_hams,"Doh, no, I said steamed hams. That's what I call hamburgers! It's a regional dialect.","Aber nein, ich sagte gedämpfte Huscheln. Das nenne ich Hamburger! Es ist ein regionaler Dialekt.","Oh non, j'ai dis des hams vapeurs. C'est comme ça que j'appelle les hamburgers! C'est un dialecte régional.","Doh, no, ho detto prosciutti cotti al vapore. Questo è quello che chiamo hamburger! È un dialetto regionale.","Doh, no, dije jamones al vapor. ¡Eso es lo que llamo hamburguesas! Es un dialecto regional."
menu_play,Play,Abspielen,Jouer,Giocare,Jugar
menu_title,Skinner and the Superintendent,Skinner und der Inspektor,Skinner et le Inspecteur,Skinner e il Sovrintendente,Skinner y el Superintendente
menu_language,Language:,Sprache:,La langue:,Lingua:,Lengua:
